step,value,metric,run
25000,1.0,per_learner/4/correct,runs\ab_balanced_items200_h1000\PPO_2
32768,1.0,per_learner/4/correct,runs\ab_balanced_items200_h1000\PPO_2
50000,1.0,per_learner/4/correct,runs\ab_balanced_items200_h1000\PPO_2
65536,1.0,per_learner/4/correct,runs\ab_balanced_items200_h1000\PPO_2
75000,1.0,per_learner/4/correct,runs\ab_balanced_items200_h1000\PPO_2
98304,1.0,per_learner/4/correct,runs\ab_balanced_items200_h1000\PPO_2
25000,0.0,per_learner/4/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
32768,0.0,per_learner/4/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
50000,0.0,per_learner/4/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
65536,0.0,per_learner/4/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
75000,0.0,per_learner/4/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
98304,0.0,per_learner/4/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
25000,0.9992562532424927,per_learner/4/p_correct,runs\ab_balanced_items200_h1000\PPO_2
32768,0.9994361400604248,per_learner/4/p_correct,runs\ab_balanced_items200_h1000\PPO_2
50000,0.9985071420669556,per_learner/4/p_correct,runs\ab_balanced_items200_h1000\PPO_2
65536,0.9988606572151184,per_learner/4/p_correct,runs\ab_balanced_items200_h1000\PPO_2
75000,0.997764527797699,per_learner/4/p_correct,runs\ab_balanced_items200_h1000\PPO_2
98304,0.998273491859436,per_learner/4/p_correct,runs\ab_balanced_items200_h1000\PPO_2
25000,0.9991859197616577,per_learner/4/reward,runs\ab_balanced_items200_h1000\PPO_2
32768,0.9991409778594971,per_learner/4/reward,runs\ab_balanced_items200_h1000\PPO_2
50000,0.999373197555542,per_learner/4/reward,runs\ab_balanced_items200_h1000\PPO_2
65536,0.9992848634719849,per_learner/4/reward,runs\ab_balanced_items200_h1000\PPO_2
75000,0.9995588660240173,per_learner/4/reward,runs\ab_balanced_items200_h1000\PPO_2
98304,0.9994316101074219,per_learner/4/reward,runs\ab_balanced_items200_h1000\PPO_2
25000,1.0,per_learner/4/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
32768,1.0,per_learner/4/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
50000,1.0,per_learner/4/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
65536,1.0,per_learner/4/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
75000,1.0,per_learner/4/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
98304,1.0,per_learner/4/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
25000,1.0,per_learner/5/correct,runs\ab_balanced_items200_h1000\PPO_2
32768,1.0,per_learner/5/correct,runs\ab_balanced_items200_h1000\PPO_2
50000,1.0,per_learner/5/correct,runs\ab_balanced_items200_h1000\PPO_2
65536,1.0,per_learner/5/correct,runs\ab_balanced_items200_h1000\PPO_2
75000,1.0,per_learner/5/correct,runs\ab_balanced_items200_h1000\PPO_2
98304,1.0,per_learner/5/correct,runs\ab_balanced_items200_h1000\PPO_2
25000,0.0,per_learner/5/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
32768,0.0,per_learner/5/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
50000,0.0,per_learner/5/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
65536,0.0,per_learner/5/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
75000,0.0,per_learner/5/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
98304,0.0,per_learner/5/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
25000,0.9992008209228516,per_learner/5/p_correct,runs\ab_balanced_items200_h1000\PPO_2
32768,0.9993761777877808,per_learner/5/p_correct,runs\ab_balanced_items200_h1000\PPO_2
50000,0.9983893036842346,per_learner/5/p_correct,runs\ab_balanced_items200_h1000\PPO_2
65536,0.998752772808075,per_learner/5/p_correct,runs\ab_balanced_items200_h1000\PPO_2
75000,0.9975719451904297,per_learner/5/p_correct,runs\ab_balanced_items200_h1000\PPO_2
98304,0.9981297254562378,per_learner/5/p_correct,runs\ab_balanced_items200_h1000\PPO_2
25000,0.9991998076438904,per_learner/5/reward,runs\ab_balanced_items200_h1000\PPO_2
32768,0.9991559386253357,per_learner/5/reward,runs\ab_balanced_items200_h1000\PPO_2
50000,0.9994027018547058,per_learner/5/reward,runs\ab_balanced_items200_h1000\PPO_2
65536,0.9993118047714233,per_learner/5/reward,runs\ab_balanced_items200_h1000\PPO_2
75000,0.9996070265769958,per_learner/5/reward,runs\ab_balanced_items200_h1000\PPO_2
98304,0.9994675517082214,per_learner/5/reward,runs\ab_balanced_items200_h1000\PPO_2
25000,1.0,per_learner/5/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
32768,1.0,per_learner/5/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
50000,1.0,per_learner/5/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
65536,1.0,per_learner/5/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
75000,1.0,per_learner/5/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
